ASN,Vendor
1026,Google
3598,Microsoft
4356,Epic Games
5761,Microsoft
6182,Microsoft
6194,Microsoft
6291,Microsoft
6432,Google
6584,Microsoft
7224,Amazon
7979,Servers.com
8068,Microsoft
8069,Microsoft
8070,Microsoft
8071,Microsoft
8072,Microsoft
8073,Microsoft
8074,Microsoft
8075,Microsoft
8987,Amazon Gov Cloud
9059,Amazon
10124,Amazon
10291,Amazon
11344,Google
12076,Microsoft
12222,Akamai
13335,Cloudflare
13399,Microsoft
13811,Microsoft
13949,Google
14271,Microsoft
14618,Amazon
14719,Microsoft
14783,Microsoft
15169,Google
16509,Amazon
16550,Google
16591,Google
16625,Akamai
16702,Akamai
17144,Microsoft
17204,Akamai
17334,Akamai
17345,Microsoft
17346,Google
17493,Amazon
18680,Akamai
18717,Akamai
19047,Amazon
19425,Google
19448,Google
19527,Google
20046,Microsoft
20189,Akamai
20940,Akamai
21342,Akamai
21357,Akamai
21399,Akamai
21664,Amazon
22207,Akamai
22452,Akamai
22577,Google
22692,Microsoft
22859,Google
23454,Akamai
23455,Akamai
23468,Microsoft
23903,Akamai
24319,Akamai
24424,Google
25796,Microsoft
26008,Akamai
26222,Microsoft
26684,Google
26910,Google
30135,Microsoft
30520,Microsoft
30575,Microsoft
30675,Akamai
31107,Akamai
31108,Akamai
31109,Akamai
31110,Akamai
31377,Akamai
31792,Microsoft
31984,Akamai
32381,Google
32476,Microsoft
32590,Valve
32787,Akamai
33047,Akamai
33715,Google
33905,Akamai
34164,Akamai
34850,Akamai
35106,Microsoft
35204,Akamai
35993,Akamai
35994,Akamai
36006,Microsoft
36029,Akamai
36039,Google
36040,Google
36183,Akamai
36190,Google
36263,Amazon
36383,Google
36384,Google
36385,Google
36411,Google
36492,Google
36520,Google
36561,Google
36987,Google
38895,Amazon
39111,Amazon
39836,Akamai
40045,Amazon
40066,Microsoft
40873,Google
41264,Google
43515,Google
43639,Akamai
45566,Google
45757,Akamai
46182,Microsoft
48163,Akamai
49249,Akamai
49846,Akamai
52985,Microsoft
54396,Microsoft
55023,Google
55409,Akamai
55770,Akamai
58588,Amazon
58862,Microsoft
59067,Microsoft
62785,Amazon
63088,Amazon
63245,Microsoft
63314,Microsoft
63949,Akamai
132348,Microsoft
133103,Akamai
135630,Amazon
139070,Google
139190,Google
151231,Google
154263,Amazon
198097,Microsoft
200005,Akamai
200126,Epic Games
200238,Google
200517,Microsoft
207845,Epic Games
207870,Epic Games
209504,Google
209519,Google
209539,Google
212238,Datacamp Ltd
213120,Akamai
214609,Google
214611,Google
264167,Amazon
393234,Akamai
393326,Epic Games
393560,Akamai
394082,Google
394089,Google
394507,Google
394639,Google
395343,Amazon
395496,Microsoft
395524,Microsoft
395701,Epic Games
395851,Microsoft
395973,Google
396463,Microsoft
396982,Google
397096,Microsoft
397466,Microsoft
397645,Epic Games
397996,Microsoft
398575,Microsoft
398656,Microsoft
398657,Microsoft
398658,Microsoft
398659,Microsoft
398660,Microsoft
398661,Microsoft
398961,Microsoft
399834,Amazon
399991,Amazon
400098,Amazon
400572,Microsoft
400573,Microsoft
400574,Microsoft
400575,Microsoft
400576,Microsoft
400577,Microsoft
400578,Microsoft
400579,Microsoft
400580,Microsoft
400581,Microsoft
400582,Microsoft
400884,Microsoft
401395,Amazon
401887,Google
402064,Microsoft
